Fecha,Gas87,Gas91,Diesel
2018-04-09,17.65,19.21,18.76
2018-04-10,17.65,19.21,18.76
2018-04-11,17.66,19.21,18.76
2018-04-12,17.66,19.22,18.77
2018-04-13,17.67,19.22,18.77
2018-04-14,17.67,19.22,18.77
2018-04-15,17.67,19.22,18.77
2018-04-16,17.67,19.23,18.78
2018-04-17,17.68,19.23,18.78
2018-04-18,17.68,19.23,18.78
2018-04-19,17.68,19.23,18.78
2018-04-20,17.68,19.23,18.79
2018-04-21,17.69,19.24,18.79
2018-04-22,17.69,19.24,18.79
2018-04-23,17.69,19.24,18.79
2018-04-24,17.7,19.24,18.8
2018-04-25,17.71,19.25,18.81
2018-04-26,17.73,19.27,18.82
2018-04-27,17.73,19.27,18.83
2018-04-28,17.74,19.28,18.83
2018-04-29,17.77,19.3,18.84
2018-04-30,17.77,19.29,18.84
2018-05-01,17.78,19.3,18.84
2018-05-02,17.79,19.31,18.85
2018-05-03,17.8,19.32,18.86
2018-05-04,17.81,19.32,18.87
2018-05-05,17.82,19.33,18.87
2018-05-06,17.82,19.33,18.87
2018-05-07,17.82,19.33,18.87
2018-05-08,17.83,19.34,18.88
2018-05-09,17.84,19.34,18.89
2018-05-10,17.85,19.35,18.9
2018-05-11,17.85,19.36,18.91
2018-05-12,17.86,19.37,18.91
2018-05-13,17.86,19.37,18.91
2018-05-14,17.86,19.37,18.92
2018-05-15,17.87,19.38,18.92
2018-05-16,17.88,19.39,18.93
2018-05-17,17.89,19.4,18.94
2018-05-18,17.9,19.41,18.95
2018-05-19,17.91,19.42,18.96
2018-05-20,17.92,19.42,18.96
2018-05-21,17.92,19.42,18.96
2018-05-22,17.93,19.43,18.97
2018-05-23,17.94,19.44,18.98
2018-05-24,17.95,19.45,18.99
2018-05-25,17.96,19.46,19
2018-05-26,17.97,19.47,19.01
2018-05-27,17.97,19.47,19.01
2018-05-28,17.98,19.47,19.02
2018-05-29,17.99,19.48,19.03
2018-05-30,17.99,19.49,19.03
2018-05-31,18,19.5,19.04
2018-06-01,18.01,19.5,19.05
2018-06-02,18,19.5,19.06
2018-06-03,18,19.5,19.06
2018-06-04,18,19.5,19.07
2018-06-05,18.01,19.51,19.08
2018-06-06,18.01,19.54,19.09
2018-06-07,18.01,19.55,19.1
2018-06-08,18.03,19.56,19.11
2018-06-09,18.04,19.58,19.12
2018-06-10,18.04,19.58,19.13
2018-06-11,18.05,19.58,19.13
2018-06-12,18.06,19.58,19.14
2018-06-13,18.07,19.59,19.15
2018-06-14,18.08,19.6,19.16
2018-06-15,18.09,19.61,19.17
2018-06-16,18.1,19.62,19.19
2018-06-17,18.11,19.62,19.19
2018-06-18,18.11,19.63,19.19
2018-06-19,18.12,19.64,19.2
2018-06-20,18.13,19.65,19.21
2018-06-21,18.14,19.66,19.23
2018-06-22,18.15,19.67,19.23
2018-06-23,18.17,19.68,19.25
2018-06-24,18.17,19.68,19.25
2018-06-25,18.17,19.69,19.25
2018-06-26,18.18,19.7,19.26
2018-06-27,18.19,19.71,19.27
2018-06-28,18.2,19.72,19.28
2018-06-29,18.21,19.73,19.29
2018-06-30,18.22,19.74,19.3
2018-07-01,18.22,19.74,19.3
2018-07-02,18.23,19.74,19.31
2018-07-03,18.24,19.76,19.32
2018-07-04,18.26,19.77,19.34
2018-07-05,18.28,19.79,19.36
2018-07-06,18.3,19.81,19.38
2018-07-07,18.32,19.83,19.39
2018-07-08,18.32,19.83,19.4
2018-07-09,18.33,19.84,19.41
2018-07-10,18.35,19.86,19.43
2018-07-11,18.37,19.88,19.44
2018-07-12,18.38,19.9,19.47
2018-07-13,18.41,19.92,19.49
2018-07-14,18.42,19.94,19.5
2018-07-15,18.43,19.94,19.51
2018-07-16,18.44,19.95,19.52
2018-07-17,18.47,19.99,19.56
2018-07-18,18.49,20,19.57
2018-07-19,18.51,20.02,19.59
2018-07-20,18.53,20.04,19.61
2018-07-21,18.55,20.06,19.63
2018-07-22,18.55,20.06,19.63
2018-07-23,18.55,20.07,19.63
2018-07-24,18.57,20.09,19.65
2018-07-25,18.59,20.11,19.67
2018-07-26,18.61,20.12,19.69
2018-07-27,18.63,20.14,19.71
2018-07-28,18.65,20.17,19.73
2018-07-29,18.65,20.17,19.74
2018-07-30,18.67,20.18,19.75
2018-07-31,18.71,20.22,19.79
2018-08-01,18.73,20.25,19.81
2018-08-02,18.76,20.27,19.84
2018-08-03,18.78,20.3,19.87
2018-08-04,18.81,20.32,19.89
2018-08-05,18.82,20.33,19.9
2018-08-06,18.83,20.34,19.91
2018-08-07,18.87,20.38,19.96
2018-08-08,18.9,20.41,19.98
2018-08-09,18.93,20.44,20
2018-08-10,18.94,20.45,20.01
2018-08-11,18.95,20.45,20.02
2018-08-12,18.95,20.46,20.03
2018-08-13,18.96,20.46,20.03
2018-08-14,18.97,20.47,20.04
2018-08-15,18.99,20.49,20.06
2018-08-16,19,20.51,20.08
2018-08-17,19.01,20.51,20.08
2018-08-18,19.02,20.52,20.09
2018-08-19,19.02,20.52,20.09
2018-08-20,19.02,20.52,20.09
2018-08-21,19.03,20.53,20.1
2018-08-22,19.04,20.53,20.11
2018-08-23,19.05,20.54,20.12
2018-08-24,19.07,20.55,20.13
2018-08-25,19.07,20.56,20.14
2018-08-26,19.07,20.56,20.14
2018-08-27,19.08,20.56,20.15
2018-08-28,19.09,20.57,20.16
2018-08-29,19.1,20.58,20.17
2018-08-30,19.11,20.59,20.18
2018-08-31,19.13,20.6,20.2
2018-09-01,19.15,20.61,20.21
2018-09-02,19.15,20.61,20.22
2018-09-03,19.15,20.62,20.22
2018-09-04,19.16,20.63,20.23
2018-09-05,19.17,20.63,20.24
2018-09-06,19.18,20.64,20.26
2018-09-07,19.19,20.65,20.27
2018-09-08,19.19,20.65,20.28
2018-09-09,19.19,20.65,20.28
2018-09-10,19.19,20.66,20.29
2018-09-11,19.2,20.66,20.29
2018-09-12,19.21,20.67,20.3
2018-09-13,19.22,20.69,20.32
2018-09-14,19.23,20.7,20.33
2018-09-15,19.24,20.71,20.33
2018-09-16,19.24,20.71,20.34
2018-09-17,19.24,20.71,20.34
2018-09-18,19.24,20.72,20.34
2018-09-19,19.24,20.72,20.34
2018-09-20,19.25,20.72,20.35
2018-09-21,19.25,20.73,20.35
2018-09-22,19.26,20.74,20.36
2018-09-23,19.26,20.74,20.36
